nomAttribuant,nomBénéficiaire,montant,nature,objet,montant_reuse,datepublication,idAttribuant,dateConvention,referenceDecision,idBeneficiaire,conditionsVersement,datesPériodeVersement,idRAE,notificationUE,pourcentageSubvention,date_deb,date_fin,objet_reuse
BORDEAUX METROPOLE,Les Arts au Mur Artothèque,15000,aide en numéraire,Evènementiels 2023,Inférieur à 30 000€,45014,24330031600011.0,44999,2023/82,43434085700037.0,échelonné,2023-03-14/2023-09-14,sans objet,non,1.00,44999,,Autre objet
BORDEAUX METROPOLE,Dédale,30000,aide en numéraire,Sécurisation des conditions de vie dans les squats et bidonvilles,Inférieur à 30 000€,45097,24330031600011.0,45040,2023/103,91344052500016.0,échelonné,2023-04-24/2023-10-24,sans objet,non,1.00,45040,,Autre objet
BORDEAUX METROPOLE,Xylofutur,30000,aide en numéraire,Aide au fonctionnement,Inférieur à 30 000€,45097,24330031600011.0,45041,2023/121,48537603200036.0,échelonné,2023-04-25/2023-10-25,sans objet,non,1.00,45041,,Autre objet
BORDEAUX METROPOLE,Festival ODP,40000,aide en numéraire,Aide au fonctionnement,Entre 30 000€ et 100 000€,45097,24330031600011.0,45055,2023/174,82343035000012.0,échelonné,2023-05-09/2023-11-09,sans objet,non,1.00,45055,,Autre objet
BORDEAUX METROPOLE,PIMMS de Bordeaux,12000,aide en numéraire,Projet ALADDIN 2023,Inférieur à 30 000€,45097,24330031600011.0,45033,23METPP00372,79886728900018.0,unique,2023-04-17/2023-10-17,sans objet,non,1.00,45033,,Autre objet
BORDEAUX METROPOLE,Bicyclette et Alternatives de Mobilité,20000,aide en numéraire,Aide au fonctionnement,Inférieur à 30 000€,45216,24330031600011.0,45101,2023/235,88332302400017.0,échelonné,2023-06-24/2023-12-24,sans objet,non,1.00,45101,,Autre objet
BORDEAUX METROPOLE,Cycles et Manivelles,5000,aide en numéraire,AAP Contrat de Ville,Inférieur à 30 000€,45216,24330031600011.0,45169,2023/331,80077623900033.0,unique,2023-08-31/2024-03-02,sans objet,non,1.00,45169,,Autre objet
BORDEAUX METROPOLE,Les Restaurants du Coeur,25000,aide en numéraire,Concert les Enfoirés 2024,Inférieur à 30 000€,45324,24330031600011.0,45272,2023/621,33986341700418.0,unique,2023-12-12/2024-06-12,sans objet,non,1.00,45272,,Autre objet
BORDEAUX METROPOLE,INSTITUT 3IE,50000,aide en numéraire,Subvention de Fonctionnement,Entre 30 000€ et 100 000€,44624,24330031600011.0,44585,2021/689,81240643700028.0,échelonné,2022-01-24/2022-07-24,sans objet,non,1.00,44585,,Autre objet
BORDEAUX METROPOLE,KONEXIO,35000,aide en numéraire,Subvention de fonctionnement,Entre 30 000€ et 100 000€,44713,24330031600011.0,44585,2021/689,82424482600023.0,unique,2022-01-24/2022-07-24,sans objet,non,1.00,44585,,Autre objet
BORDEAUX METROPOLE,LA PETITE SŒUR,20950,aide en numéraire,Subvention d'Investissement,Inférieur à 30 000€,44713,24330031600011.0,44683,2022/164,89961367300016.0,échelonné,2022-05-02/2022-11-02,sans objet,non,1.00,44683,,Autre objet
BORDEAUX METROPOLE,CAISSE SOCIALE DE DEVELOPPEMENT LOCAL,38000,aide en numéraire,Subvention de fonctionnement,Entre 30 000€ et 100 000€,44805,24330031600011.0,44733,2022/266,41900910500018.0,échelonné,2022-06-21/2022-12-21,sans objet,non,1.00,44733,,Autre objet
BORDEAUX METROPOLE,FRANCE ACTIVE N-A,30000,aide en numéraire,Aide à l'Investissement,Inférieur à 30 000€,44805,24330031600011.0,44740,2022/266,45154609700028.0,unique,2022-06-28/2022-12-28,sans objet,non,1.00,44740,,Autre objet
BORDEAUX METROPOLE,A.DE.L.E PLIE des Graves,19642,aide en numéraire,Subvention de fonctionnement,Inférieur à 30 000€,44805,24330031600011.0,44761,2022/353,43383539400027.0,échelonné,2022-07-19/2023-01-19,sans objet,non,1.00,44761,,Autre objet
BORDEAUX METROPOLE,ADIE,43000,aide en numéraire,Programme d'actions 2022,Entre 30 000€ et 100 000€,44805,24330031600011.0,44740,2022/266,35221687300211.0,échelonné,2022-06-28/2022-12-28,sans objet,non,1.00,44740,,Autre objet
BORDEAUX METROPOLE,CARREFOUR POUR L'EMPLOI,18000,aide en numéraire,Subvention de Fonctionnement,Inférieur à 30 000€,44897,24330031600011.0,44872,2022/471,43294548300035.0,échelonné,2022-11-07/2023-05-07,sans objet,non,1.00,44872,,Autre objet
BORDEAUX METROPOLE,MAISON DE L'EUROPE BORDEAUX AQUITAINE,43000,aide en numéraire,Subvention de Fonctionnement,Entre 30 000€ et 100 000€,44943,24330031600011.0,44896,2022/747,51779186900012.0,échelonné,2022-12-01/2023-06-01,sans objet,non,1.00,44896,,Autre objet
BORDEAUX METROPOLE,Bordeaux Mon Commerce,30000,aide en numéraire,Aide au fonctionnement,Inférieur à 30 000€,45216,24330031600011.0,45184,2023/310,52539664400029.0,échelonné,2023-09-15/2024-03-15,sans objet,non,1.00,45184,,Autre objet
BORDEAUX METROPOLE,La Chataigneraie,20000,aide en numéraire,AAP Emploi et Quartiers,Inférieur à 30 000€,45324,24330031600011.0,45280,2023/606,49011083000018.0,unique,2023-12-20/2024-06-20,sans objet,non,1.00,45280,,Autre objet
BORDEAUX METROPOLE,TARMAQ,153480,aide en numéraire,Subvention de Fonctionnement,Entre 100 000€ et 500 000€,44624,24330031600011.0,44620,2022/29,88352417500014.0,échelonné,2022-02-28/2022-08-28,sans objet,non,1.00,44620,,Autre objet
BORDEAUX METROPOLE,SEMER LE DOUTE,26000,aide en numéraire,FIFB 2022,Inférieur à 30 000€,44713,24330031600011.0,44623,2022/86,53389682500031.0,échelonné,2022-03-03/2022-09-03,sans objet,non,1.00,44623,,Autre objet
BORDEAUX METROPOLE,OFFICE DE TOURISME ET DES CONGRES BX METROPOLE,3213000,aide en numéraire,Subvention de fonctionnement,Supérieur à 500 000€,44713,24330031600011.0,44677,2022/140,78180455400017.0,échelonné,2022-04-26/2022-10-26,sans objet,non,1.00,44677,,Autre objet
BORDEAUX METROPOLE,CRIJ NA,30400,aide en numéraire,Subvention de fonctionnement,Entre 30 000€ et 100 000€,44713,24330031600011.0,44671,2022/223,30733663600039.0,échelonné,2022-04-20/2022-10-20,sans objet,non,1.00,44671,,Autre objet
BORDEAUX METROPOLE,ARC EN REVE,407000,aide en numéraire,Subvention de fonctionnement,Entre 100 000€ et 500 000€,44805,24330031600011.0,44714,2022/268,32123703400012.0,échelonné,2022-06-02/2022-12-02,sans objet,non,1.00,44714,,Autre objet
BORDEAUX METROPOLE,ADAV,87400,aide en numéraire,Subvention de fonctionnement,Entre 30 000€ et 100 000€,44805,24330031600011.0,44706,2022/322,30091783800025.0,échelonné,2022-05-25/2022-11-25,sans objet,non,1.00,44706,,Autre objet
BORDEAUX METROPOLE,AMANIEU DE BOULIAC,6500,aide en numéraire,Les médiévales,Inférieur à 30 000€,44805,24330031600011.0,44735,2022/86,42283936500018.0,échelonné,2022-06-23/2022-12-23,sans objet,non,1.00,44735,,Autre objet
BORDEAUX METROPOLE,ALEC,82800,aide en numéraire,Accompagnement stratégies énergétiques,Entre 30 000€ et 100 000€,44805,24330031600011.0,44691,2022/179,49500944100033.0,échelonné,2022-05-10/2022-11-10,sans objet,non,1.00,44691,,Autre objet
BORDEAUX METROPOLE,AFEPT,8000,aide en numéraire,AAP FAJ / Politique de la Ville,Inférieur à 30 000€,44805,24330031600011.0,44773,2020/388,30016423300052.0,unique,2022-07-31/2023-01-31,sans objet,non,1.00,44773,,Autre objet
BORDEAUX METROPOLE,ADSI TECHNOWEST,24830,aide en numéraire,Action clause d'insertion,Inférieur à 30 000€,44805,24330031600011.0,44755,2022/353,43403882400042.0,échelonné,2022-07-13/2023-01-13,sans objet,non,1.00,44755,,Autre objet
BORDEAUX METROPOLE,AGENCE DE DEVELOPPEMENT TOURISTIQUE,180000,aide en numéraire,Gironde Tourisme 2022,Entre 100 000€ et 500 000€,44805,24330031600011.0,44763,2022/194,78184375000055.0,échelonné,2022-07-21/2023-01-21,sans objet,non,1.00,44763,,Autre objet
BORDEAUX METROPOLE,CEID ADDICTIONS,3500,aide en numéraire,Subvention de fonctionnement,Inférieur à 30 000€,44805,24330031600011.0,44767,2022/364,31241056600011.0,échelonné,2022-07-25/2023-01-25,sans objet,non,1.00,44767,,Autre objet
BORDEAUX METROPOLE,CAP SCIENCES,368000,aide en numéraire,Subvention de fonctionnement,Entre 100 000€ et 500 000€,44805,24330031600011.0,44790,2022/400,39988425300036.0,échelonné,2022-08-17/2023-02-17,sans objet,non,1.00,44790,,Autre objet
BORDEAUX METROPOLE,BANQUE ALIMENTAIRE,50000,aide en numéraire,Subvention de fonctionnement,Entre 30 000€ et 100 000€,44897,24330031600011.0,44810,2022/352,34063725500027.0,échelonné,2022-09-06/2023-03-06,sans objet,non,1.00,44810,,Autre objet
BORDEAUX METROPOLE,THEATRE NATIONAL DE BORDEAUX,20000,aide en numéraire,Festival de la ruche,Inférieur à 30 000€,44897,24330031600011.0,44812,2022/292,78182415600041.0,échelonné,2022-09-08/2023-03-08,sans objet,non,1.00,44812,,Autre objet
BORDEAUX METROPOLE,LES PETITS DEBROUILLARDS,7000,aide en numéraire,Programme d'actions CDV 2022,Inférieur à 30 000€,44897,24330031600011.0,44795,2022/427,41087071100083.0,unique,2022-08-22/2023-02-22,sans objet,non,1.00,44795,,Autre objet
BORDEAUX METROPOLE,CLAP SUD OUEST,31000,aide en numéraire,Programme d'actions CDV 2022,Entre 30 000€ et 100 000€,44897,24330031600011.0,44797,2022/427,40228354300070.0,unique,2022-08-24/2023-02-24,sans objet,non,1.00,44797,,Autre objet
BORDEAUX METROPOLE,LES ARTS AU MUR,4000,aide en numéraire,Programme d'actions CDV 2022,Inférieur à 30 000€,44897,24330031600011.0,44809,2022/427,43434085700037.0,unique,2022-09-05/2023-03-05,sans objet,non,1.00,44809,,Autre objet
BORDEAUX METROPOLE,MUSIQUE DE NUIT DIFFUSION,13000,aide en numéraire,Programme d'actions CDV 2022,Inférieur à 30 000€,44897,24330031600011.0,44826,2022/427,34169319000033.0,unique,2022-09-22/2023-03-22,sans objet,non,1.00,44826,,Autre objet
BORDEAUX METROPOLE,OXYGENE,1500,aide en numéraire,Projet ALLADIN 2022,Inférieur à 30 000€,44897,24330031600011.0,44803,2022/378,40097769000033.0,unique,2022-08-30/2023-02-30,sans objet,non,1.00,44803,,Autre objet
BORDEAUX METROPOLE,BORDEAUX ECOLE NUMERIQUE,7500,aide en numéraire,Projet ALLADIN 2022,Inférieur à 30 000€,44897,24330031600011.0,44803,2022/378,84122122900013.0,unique,2022-08-30/2023-02-30,sans objet,non,1.00,44803,,Autre objet
BORDEAUX METROPOLE,ATELIER GRAPHITE,18000,aide en numéraire,Projet ALLADIN 2022,Inférieur à 30 000€,44897,24330031600011.0,44795,2022/378,49428909300028.0,unique,2022-08-22/2023-02-22,sans objet,non,1.00,44795,,Autre objet
BORDEAUX METROPOLE,LUDOSENS,41750,aide en numéraire,Subvention d'investissement,Entre 30 000€ et 100 000€,44897,24330031600011.0,44859,2022/551,51317173600038.0,échelonné,2022-10-25/2023-04-25,sans objet,non,1.00,44859,,Autre objet
BORDEAUX METROPOLE,France VILLE DURABLE,15000,aide en numéraire,Subvention de Fonctionnement,Inférieur à 30 000€,44897,24330031600011.0,44720,2022/283,81794385500020.0,échelonné,2022-06-08/2022-12-08,sans objet,non,1.00,44720,,Autre objet
BORDEAUX METROPOLE,A.DE.LE,25000,aide en numéraire,Subvention de Fonctionnement,Inférieur à 30 000€,44897,24330031600011.0,44872,2022/473,43383539400027.0,échelonné,2022-11-07/2023-05-07,sans objet,non,1.00,44872,,Autre objet
BORDEAUX METROPOLE,Invest In Bordeaux,527775,aide en numéraire,aide au fonctionnement,Supérieur à 500 000€,45386,24330031600011.0,45351,2024/25,40919981700068.0,échelonné,2024-02-29/2024-08-29,sans objet,non,1.00,45351,,Autre objet
BORDEAUX METROPOLE,Villa Valmont,50000,aide en numéraire,AAP Résidence pour le cinéma,Entre 30 000€ et 100 000€,45386,24330031600011.0,45352,2023/548,84937825200019.0,échelonné,2024-03-01/2024-09-01,sans objet,non,1.00,45352,,Autre objet
BORDEAUX METROPOLE,e-Graine Nouvelle Aquitaine,7000,aide en numéraire,aide au fonctionnement,Inférieur à 30 000€,45537,24330031600011.0,45331,2024/62,82365349800035.0,échelonné,2024-02-09/2024-08-09,sans objet,non,1.00,45331,,Autre objet
BORDEAUX METROPOLE,Girondins de Bordeaux Omnisports,25000,aide en numéraire,aide au fonctionnement,Inférieur à 30 000€,45537,24330031600011.0,45417,2024/188,32205354700053.0,échelonné,2024-05-05/2024-11-05,sans objet,non,1.00,45417,,Autre objet
BORDEAUX METROPOLE,ODEYS,40000,aide en numéraire,aide au fonctionnement,Entre 30 000€ et 100 000€,45537,24330031600011.0,45439,2024/148,84519241800018.0,échelonné,2024-05-27/2024-11-27,sans objet,non,1.00,45439,,Autre objet
